thumb href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),specialty_codes href (10),specialty_codes (10),genericItemIntroText (2),genericItemIntroText (3),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),specialty_codes href (14),specialty_codes (14),specialty_codes href (15),specialty_codes (15)
https://www.ovations.com.au/speakers/afterburner,Afterburner,Afterburner is a high performing team of men and woman who are real life fighter pilots or military aviators. The Afterburner pilots are passionate about helping people learn and apply the techniques they use every day to achieve a consistent mission success rate of 98%.,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speaker-filter-search-results/speakers/Organisational%20Behaviour,ORGANISATIONAL BEHAVIOUR,,,,,,,,,,,,
https://www.ovations.com.au/speakers/mickey-arthur,Mickey Arthur,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,"Before his appointment as Head Coach of Western Australia Warriors, John Michael (Mickey) Arthur was one of South Africa's longest-serving and most successful national cricket coaches. He created history when he became the first South African coach to guide his team (Proteas) to a test win in Australia, consigning Australia to its first series defeat on home soil in 15 years. The team backed u ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/david-batstone,David Batstone,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,"It is a rare set of skills that enable David Batstone to be active as a business entrepreneur, professor and journalist.Gifted as an entrepreneur, Batstone has played an executive role in a niche investment bank operating internationally in the entertainment and technology industries. During the 1980s, he founded and directed a non-governmental agency dedicated to economic development and human ri ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/john-bertrand,John Bertrand,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,"John Bertrand AM mastered the principles of leadership as a result of a long international apprenticeship. This journey took him through three America's Cup Challenges - 1970, 1974 and 1980 - and three Olympic Games teams before he had assembled enough leadership, knowledge and skill as skipper of Australia II, to finally succeed in winning the 1983 America's Cup. In August 2013, John was appo ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/cathy-burke,Cathy Burke,"Cathy Burke believes leadership is crucial for any endeavour that matters. Through her keynotes, presentations, and workshops, she helps you find and unlock the leadership potential hidden within yourself and your organisation.",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Women%20in%20Business,WOMEN IN BUSINESS,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/mike-carlton,Mike Carlton,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,"Mike Carlton is one of Australia's best known broadcasters and newspaper columnists. In a journalistic career of more than 30 years, he has been a news reporter and editor, foreign correspondent, TV current affairs reporter and anchor, radio current affairs anchor, humorist and satirist. ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/matt-church,Matt Church,"Matt Church is a seeker of truth, sharing his learning through teaching and writing. As the founder of Thought Leaders and a highly respected conference presenter, he communicates, connects and challenges audiences and himself to be the best version of themselves.",https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/roger-collins,Roger Collins,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/education,EDUCATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/marketing,MARKETING,,,,,,,"Dr Roger Collins is Professor Emeritus at the University of NSW and a board member of the Australian Institute of Management (NSW & ACT). He serves on the Board of Directors at Inenco Pty Ltd, a highly successful engineering supply company perhaps better known for its businesses such as CBC Bearings and Bearing Services. Roger served as Foundation Chairman of the Board of Grant Thornton Austral ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/donald-cooper,Donald Cooper,,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,,,,,,,"Donald is a speaker based out of Canada and speaks on marketing, service and business excellence in over 40 industries around the world. Drawing from his real life experience as a world-class manufacturer, award-winning retailer and business speaker, Donald's unique insights of ""Human Marketing"" have helped thousands of companies throughout the world to redefine and reinvent their business to comm ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/cameron-daddo,Cameron Daddo,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Singer%20/%20Musician,SINGER / MUSICIAN,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,"Cameron Daddo began his career in the entertainment business over 20 years ago. He started as a children's television host and has since moved through every form of entertainment since. Film and television acting, hosting, directing and producing, theatre, radio, singer/ songwriter, and the printed word... he has had success in every aspect. As Cameron will admit... ""any way to tell a story!"" ...",,,,,,,,,,,
