thumb href,tagItemTitle href,speakerName,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),genericItemIntroText (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),genericItemIntroText (3),genericItemIntroText (4),priceRange
https://www.ovations.com.au/speakers/geoffrey-atherden,https://www.ovations.com.au/speakers/geoffrey-atherden,Geoffrey Atherden,"Geoffrey Atherden is a lapsed architect who launched himself slowly into a writing career back in the days of the Architecture Reviews at Sydney University He practised architecture for many years, and during this time he was a major contributing writer for the first series of THE AUNTY JACK SHOW (ABC TV). In 2009, Geoffrey Atherden was made a Member of the Order of Australia. Geoffrey is best ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/tony-backhouse,https://www.ovations.com.au/speakers/tony-backhouse,Tony Backhouse,"Would you like your people to experience the aliveness of laughter and having fun together? What if this could happen whilst experiencing the flow of natural harmony and teamwork? In a short session, usually 30 - 45 minutes, Tony Backhouse will lead your team through the experience of singing as a Gospel choir. ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Singer%20/%20Musician,SINGER / MUSICIAN,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/lisa-backhouse,https://www.ovations.com.au/speakers/lisa-backhouse,Lisa Backhouse,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,"Lisa Backhouse is one of Queensland's most experienced and respected news presenters with a television career spanning nearly twenty years. Renowned for her professionalism, integrity and sharp interviewing style, Lisa makes an experienced Master of Ceremonies, host and facilitator.",https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/sam-bailey,https://www.ovations.com.au/speakers/sam-bailey,Sam Bailey,Sam Bailey's life changed forever at the fork in a road in the Northern Territory. A road accident turned the schoolboy sporting hero and outback jackaroo into a quadriplegic. It changed the path of his life - and his story could do the same for you. You can hear how he turned tragedy into hope and how he beat the odds to fulfil his life-long dream of being a farmer ...,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/tony-barber,https://www.ovations.com.au/speakers/tony-barber,Tony Barber,Tony Barber is one of the best known Television personalities in Australia. His career in television began quite by chance in 1969 when he was making a demonstration film for a new commercial. Tony stood in for the 'star' and the people who saw the clip liked it so much that he was used for the actual commercial - and suddenly found himself as the Cambridge whistler. The TV game show Temptation ...,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/john-barker,https://www.ovations.com.au/speakers/john-barker,John Barker,John is the most experienced exponent of the DISC System in Australia. The system is one of the world's most effective tools for developing excellence in teams and communication skills. John will infect you with his in-depth knowledge and enthusiasm. He will pass on to your staff the ability to effectively communicate with and influence others ...,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/paul-barry,https://www.ovations.com.au/speakers/paul-barry,Paul Barry,"Paul Barry is an award-winning journalist and a best-selling author with a formidable reputation for uncovering scandal, investigating crime, exposing corporate cheats and revealing failures in government departments. Paul's latest book, Rich Kids, published in 2005, charts the rise and fall of One.Tel, in which the Packers and Murdochs lost almost $1 billion. ...",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Current%20Affairs,CURRENT AFFAIRS,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/cheryl-bart,https://www.ovations.com.au/speakers/cheryl-bart,Cheryl Bart,"Cheryl Bart and her daughter Nikki Bart are the first-ever mother-daughter team to summit the world's tallest mountain, Mt Everest. Upon reaching the top, they also became the first mother-daughter duo to complete the Seven Summits; climbing the highest peak of every continent in the world. In 2008, they were the recipients of the Australian Geographic Spirit of Adventure Award. ...",https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/ross-baxter,https://www.ovations.com.au/speakers/ross-baxter,Ross Baxter,"Originally from Dubbo in Central West NSW, Ross Baxter was the nighttime radio announcer on Radio 2DU before moving to Sydney and transferring his media talents into the world of television. In addition to his media work, Ross is in demand as a Master of Ceremonies, Voice Over talent and Auctioneer. He has worked for such clients as Variety Club, The NSW Autism Association, The Marketing Departme ...",https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/andrew-bayly,https://www.ovations.com.au/speakers/andrew-bayly,Andrew Bayly,"Andrew Bayly is an actor with an MBA. He consults to many leading companies in the areas of leadership, strategic communication, influence and behavioural change. He keeps up to date with scientific research into the brain and human behaviour, to assist his clients to achieve more themselves, and to be more engaging and more influential. Andrew's meetings are highly interactive. Andrew is a hig ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/change,CHANGE,,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,3500-5000
