thumb href,tagItemTitle href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),genericItemIntroText (2),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),genericItemIntroText (3),genericItemIntroText (4),specialty_codes href (10),specialty_codes (10),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),genericItemIntroText (5),genericItemIntroText (6),genericItemIntroText (7)
https://www.ovations.com.au/ovations-exclusive-speakers/liesl-yearsley,https://www.ovations.com.au/ovations-exclusive-speakers/liesl-yearsley,Liesl Yearsley,"Liesl is a global expert in Artificial Intelligence. Having worked in the field for over two decades. Rather than merely discussing AI, she has a history of constructing and expanding large-scale AI systems, facilitating millions of interactions. With a proven track record as a pioneer, founder, and CEO in the field, Liesl possesses profound, practical expertise. Instead of simply instilling fear about AI, she offers a detailed view of its inner workings, providing insights on managing it and strategies to thrive in the emerging AI-dominated world.",https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Franchise,FRANCHISE,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/don-ardell,https://www.ovations.com.au/speakers/don-ardell,Don Ardell,,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,,,,,,,,,,,"Don is regarded as the father of the modern Wellness Movement in the US and a phenomenal speaker. Don speaks broadly on wellness issues with two main areas of focus, ""Healthy Aging"" and ""Life-Work Balance"". ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/graham-arnold,https://www.ovations.com.au/speakers/graham-arnold,Graham Arnold,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,Graham Arnold is the current assistant coach of the Australian national football team or Qantas Socceroo's as they are more commonly known. He was appointed to work as an assistant to Frank Farina in 2000. When the FFA were looking to sign the now current coach Guus Hiddink his sole condition prior to signing was to talk with Graham to ascertain an insight into the current team and the basis of th ...,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/eve-ash,https://www.ovations.com.au/speakers/eve-ash,Eve Ash,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Franchise,FRANCHISE,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,"Eve Ash is one of Australia's most successful producers of training films, television and multimedia packages. Eve was a national winner of the Telstra Businesswomen's awards for Business Owner, as well as winning over 130 international awards for creativity and excellence. Eve trained and worked as a psychologist, and is now a published author and popular public speaker. Her book Rewrite Your Lif ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/stephen-attenborough,https://www.ovations.com.au/speakers/stephen-attenborough,Stephen Attenborough,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,,,,,,,"After almost 20 years in senior business and client management roles for a top London finance company, Stephen Attenborough escaped a career in investment management and joined Virgin Galactic when the business was launched in 2004. He became the company's first full time employee, his remit to put in place the commercial foundations of the business, at the same time as becoming possibly the world ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/david-avrin,https://www.ovations.com.au/speakers/david-avrin,David Avrin,International Marketing and Branding guru and Best-Selling Author David Avrin brings his high-energy and content-rich signature presentations to audiences around the world. David shows business owners and professionals how to craft and promote a truly marketable brand identity. ...,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/retail,RETAIL,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/simon-t-bailey,https://www.ovations.com.au/speakers/simon-t-bailey,Simon T. Bailey,,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Generations,GENERATIONS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,"Voted the best keynote speaker ever heard or used by the readers of Meetings and Conventions magazine, Simon T. Bailey is a compelling instigator who enriches people's lives by encouraging them to create the destiny they want. He does this by illuminating and then magnifying the brilliance inherent in everyone through his positively contagious energy and enthusiasm. His transformational insights, ...",https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/glenn-a-baker,https://www.ovations.com.au/speakers/glenn-a-baker,Glenn A. Baker,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,"Glenn A Baker occupies a unique niche in Australian entertainment. Music expert, intrepid traveller, radio and television presenter, best-selling author and effusive enthusiast; his face and voice have become extremely familiar over the past fifteen years. His capacity to elucidate upon his favourite topics, with accuracy and humour, has been likened to ""talking under wet cement"". His unique knowl ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/corbin-ball,https://www.ovations.com.au/speakers/corbin-ball,Corbin Ball,,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/marketing,MARKETING,,,,,,,"Corbin Ball, CMP, MS is an international speaker, consultant and writer helping clients worldwide use technology to save time and improve productivity. With 20 years of experience running international technology meetings, he now is a highly acclaimed speaker with the ability to make complex subjects understandable and fun. He is the technology columnist for Corporate Meetings and Incentives ...",,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/christopher-barclay,https://www.ovations.com.au/speakers/christopher-barclay,Christopher Barclay,,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,"As founder of one of Asia's well-known corporate learning companies, Chris has delivered programs from the beaches of Thailand to the Great Wall. An avid mountaineering enthusiast, Chris has combined alpine expeditions with experiential learning to create a powerful leadership development curriculum praised by such companies as Nike and Sun Microsystems. Chris has developed over 40 programs includ ...",,,,,,,,,,,,,,,,,,,
